Professor,Artigo
ADRIANA CARLA DAMASCENO,Nenhuma publicação encontrada
ALAN KELON OLIVEIRA DE MORAES,Nenhuma publicação encontrada
ALISSON VASCONCELOS DE BRITO,Modelling and simulation of dynamic and partially reconfigurable systems using SystemC
ALISSON VASCONCELOS DE BRITO,Kalman filter with dynamical setting of optimal process noise covariance
ALISSON VASCONCELOS DE BRITO,A novel procedure for the identification of chaos in complex biological systems
ALISSON VASCONCELOS DE BRITO,Chaos theory using density of maxima applied to the diagnosis of three-phase induction motor bearings failure by sound analysis
ALISSON VASCONCELOS DE BRITO,A novel approach for speed and failure detection in brushless DC motors based on chaos
ALISSON VASCONCELOS DE BRITO,Development and evaluation of distributed simulation of embedded systems using ptolemy and hla
ALISSON VASCONCELOS DE BRITO,A framework for analyzing adaptive autonomous aerial vehicles
ALISSON VASCONCELOS DE BRITO,A distributed simulation platform using HLA for complex embedded systems design
ALISSON VASCONCELOS DE BRITO,Eccentricity failure detection of brushless DC motors from sound signals based on density of maxima
ALISSON VASCONCELOS DE BRITO,Density of maxima approach for broken bar fault diagnosis in low slip and variable load conditions of induction motors
ALISSON VASCONCELOS DE BRITO,Analysis of Path Planning Algorithms based on Travelling Salesman Problem embedded in UAVs
ALISSON VASCONCELOS DE BRITO,A novel approach for brushless DC motors characterization in drones based on chaos
ALISSON VASCONCELOS DE BRITO,An open-source tool for simulation of partially reconfigurable systems using SystemC
ALISSON VASCONCELOS DE BRITO,Dynamic Modelling
ALISSON VASCONCELOS DE BRITO,An embedded system for aerial image processing from unmanned aerial vehicles
ALISSON VASCONCELOS DE BRITO,Environment for integration of distributed heterogeneous computing systems
ALISSON VASCONCELOS DE BRITO,The development of a methodology with a tool support to the distributed simulation of heterogeneous and complexes embedded systems
ALISSON VASCONCELOS DE BRITO,Dynamic leader allocation in multi-robot systems based on nonlinear model predictive control
ALISSON VASCONCELOS DE BRITO,Identificando correlações entre métricas de Análise de Redes Sociais e o h-index de pesquisadores de Ciência da Computação
ALISSON VASCONCELOS DE BRITO,A framework for the analysis of UAV strategies using co-simulation
ALISSON VASCONCELOS DE BRITO,VANT como ferramenta auxiliar na análise da cobertura e uso da terra
ALISSON VASCONCELOS DE BRITO,Testing real-time embedded systems using high level architecture
ALISSON VASCONCELOS DE BRITO,The study of a dynamic reconfiguration manager for systems-on-chip
ALISSON VASCONCELOS DE BRITO,Functional verification of power gate design in systemc RTL
ALISSON VASCONCELOS DE BRITO,A 3d anti-collision system based on artificial potential field method for a mobile robot
