Professor,Artigo
JOSE ANTONIO GOMES DE LIMA,Nenhuma publicação encontrada
JOSE MIGUEL AROZTEGUI MASSERA,Nenhuma publicação encontrada
JOSILENE AIRES MOREIRA,Traffic analysis beyond this world: the case of Second Life
JOSILENE AIRES MOREIRA,Traffic analysis and synthetic models of Second Life
JOSILENE AIRES MOREIRA,Barreiras que impedem a opção das meninas pelas ciências exatas e computação: Percepção de alunas do ensino médio
JOSILENE AIRES MOREIRA,Um panorama da presença feminina na ciência da computação
JOSILENE AIRES MOREIRA,A case for virtualization of content delivery networks
JOSILENE AIRES MOREIRA,"Gênero e inclusão de jovens mulheres nas ciências exatas, nas engenharias e na computação"
JOSILENE AIRES MOREIRA,Cache replacement method and system
JOSILENE AIRES MOREIRA,Cenários prospectivos: Uma visão do futuro da presença feminina em cursos de ciência da computação de uma instituição de ensino superior
JOSILENE AIRES MOREIRA,Intrusion detection systems' performance for distributed denial-of-service attack
JOSILENE AIRES MOREIRA,Quantifying for Qualifying: A Framework for Assessing Gender Equality in Higher Education Institutions
JOSILENE AIRES MOREIRA,Dificuldades para o ingresso e permanência na ciência e engenharia da computação: um olhar feminino
JOSILENE AIRES MOREIRA,A step towards understanding Joost IPTV
JOSILENE AIRES MOREIRA,Atraindo meninas para a ciência da computaçao: Métodos e ferramentas
JOSILENE AIRES MOREIRA,Oficinas de programaçao para meninas: Despertando o interesse pela computaçao
JOSILENE AIRES MOREIRA,Selecting the most suited cache strategy for specific streaming media workloads
JOSILENE AIRES MOREIRA,On learning how to plan content delivery networks
JOSILENE AIRES MOREIRA,Incentivando alunas do Ensino Médio a Ingressarem em Carreiras de Ciência e Tecnologia na Paraíba
JOSILENE AIRES MOREIRA,A utilização de kits de robótica como ferramenta para o ensino de programação à meninas do ensino médio
JOSILENE AIRES MOREIRA,"Dificuldades para o ingresso e permanência na ciência e engenharia da computação: um olhar feminino. 18º REDOR, UFRPE"
JOSILENE AIRES MOREIRA,On traffic locality and QoE in hybrid CDN-P2P networks
JOSILENE AIRES MOREIRA,Vulnerability in the Information Age: What Browsers Reveal
JOSILENE AIRES MOREIRA,Raciocínio lógico: Uma avaliação de conhecimentos em escolas do estado da paraíba
JOSILENE AIRES MOREIRA,THE NEEDS OF THE FUTURE SOCIETY 5.0: A CHALLENGE
JOSILENE AIRES MOREIRA,Ensino de Informática: Habilidades Requeridas para a Sociedade 5.0
JOSILENE AIRES MOREIRA,Tempo e gênero na crise do covid-19
JOSILENE AIRES MOREIRA,Computação desplugada no ensino fundamental I: uma experiência metodológica numa escola pública na Paraíba.
JOSILENE AIRES MOREIRA,Paradox of Firm Theory and Sustainable Development in the Mining Industry: Approximation Through the Managing Leader
JOSILENE AIRES MOREIRA,Despertando vocações através da capacitação em tecnologia: Experiências com alunas do ensino medio da ECI EEFM professor Celestin Malzac
JOSILENE AIRES MOREIRA,Cache strategies for internet-based video on-demand distribution
JOSILENE AIRES MOREIRA,Virtualização de questões da OBI para o desenvolvimento do pensamento computacional
JOSILENE AIRES MOREIRA,Um Estudo Prático sobre o Potencial do Ataque Slowloris a partir de Dispositivos Móveis
JOSILENE AIRES MOREIRA,Ameaça na palma da mão: smartphones como vetores de ataques slow de negação de serviço
JOSILENE AIRES MOREIRA,Meninas e Jovens Fazendo Ciência da Computação: despertando vocações através da difusão do conhecimento
JOSILENE AIRES MOREIRA,Observando a Evolução da Dinâmica de Tráfego do Joost
