Temporada,Posicao,Time,Pontos,Saldo de Gols,Jogos,Vitorias,Empates,Derrotas,Gols marcados,Gols sofridos
2015,15,Coritiba - PR,44,-11,38,11,11,16,31,42
2015,16,Figueirense - SC,43,-14,38,11,10,17,36,50
2015,17,Avaí - SC,42,-22,38,11,9,18,38,60
2015,18,Vasco da Gama - RJ,41,-26,38,10,11,17,28,54
2015,19,Goiás - GO,38,-10,38,10,8,20,39,49
2015,20,Joinville - SC,31,-22,38,7,10,21,26,48
2016,1,Palmeiras,80,30,38,24,8,6,62,32
2016,2,Santos FC,71,24,38,22,5,11,59,35
2016,3,Flamengo RJ,71,17,38,20,11,7,52,35
2016,4,Atlético Mineiro,62,8,37,17,11,9,61,53
2016,5,Botafogo - RJ,59,4,38,17,8,13,43,39
2016,6,Athletico Paranaense,57,6,38,17,6,15,38,32
2016,7,Corinthians SP,55,6,38,15,10,13,48,42
2016,8,Ponte Preta,53,-4,38,15,8,15,48,52
2016,9,Grêmio Porto Alegre,53,-3,38,14,11,13,41,44
2016,10,São Paulo FC,52,8,38,14,10,14,44,36
2016,11,Chapecoense,52,-7,37,13,13,11,49,56
2016,12,Cruzeiro,51,-1,38,14,9,15,48,49
2016,13,Fluminense RJ,50,0,38,13,11,14,45,45
2016,14,Sport Recife - PE,47,-6,38,13,8,17,49,55
2016,15,Coritiba - PR,46,-1,38,11,13,14,41,42
2016,16,Vitória - BA,45,-2,38,12,9,17,51,53
2016,17,Internacional,43,-6,38,11,10,17,35,41
2016,18,Figueirense - SC,37,-20,38,8,13,17,30,50
2016,19,Santa Cruz - PE,31,-24,38,8,7,23,45,69
2016,20,América - MG,28,-35,38,7,7,24,23,58
2017,1,Corinthians SP,72,20,38,21,9,8,50,30
2017,2,Palmeiras,63,16,38,19,6,13,61,45
2017,3,Santos FC,63,10,38,17,12,9,42,32
2017,4,Grêmio Porto Alegre,62,19,38,18,8,12,55,36
2017,5,Cruzeiro,57,8,38,15,12,11,47,39
2017,6,Flamengo RJ,56,11,38,15,11,12,49,38
2017,7,Vasco da Gama - RJ,56,-7,38,15,11,12,40,47
2017,8,Chapecoense,54,-2,38,15,9,14,47,49
2017,9,Atlético Mineiro,54,3,38,14,12,12,52,49
2017,10,Botafogo - RJ,53,3,38,14,11,13,45,42
2017,11,Athletico Paranaense,51,2,38,14,9,15,45,43
2017,12,Bahia - BA,50,2,38,13,11,14,50,48
2017,13,São Paulo FC,50,-1,38,13,11,14,48,49
2017,14,Fluminense RJ,47,-3,38,11,14,13,50,53
2017,15,Sport Recife - PE,45,-12,38,12,9,17,46,58
2017,16,Vitória - BA,43,-8,38,11,10,17,50,58
2017,17,Coritiba - PR,43,-9,38,11,10,17,42,51
2017,18,Avaí - SC,43,-19,38,10,13,15,29,48
2017,19,Ponte Preta,39,-15,38,10,9,19,37,52
2017,20,Atlético Goianiense,36,-18,38,9,9,20,38,56
2018,1,Palmeiras,80,38,38,23,11,4,64,26
2018,2,Flamengo RJ,72,30,38,21,9,8,59,29
2018,3,Internacional,69,22,38,19,12,7,51,29
2018,4,Grêmio Porto Alegre,66,21,38,18,12,8,48,27
2018,5,São Paulo FC,63,12,38,16,15,7,46,34
2018,6,Atlético Mineiro,59,13,38,17,8,13,56,43
2018,7,Athletico Paranaense,57,17,38,16,9,13,54,37
2018,8,Cruzeiro,53,0,38,14,11,13,34,34
2018,9,Botafogo - RJ,51,-8,38,13,12,13,38,46
2018,10,Santos FC,50,6,38,13,11,14,46,40
2018,11,Bahia - BA,48,-2,38,12,12,14,39,41
2018,12,Fluminense RJ,45,-14,38,12,9,17,32,46
2018,13,Corinthians SP,44,-1,38,11,11,16,34,35
2018,14,Chapecoense,44,-16,38,11,11,16,34,50
2018,15,Ceará - CE,44,-6,38,10,14,14,32,38
2018,16,Vasco da Gama - RJ,43,-7,38,10,13,15,41,48
2018,17,Sport Recife - PE,42,-22,38,11,9,18,35,57
2018,18,América - MG,40,-17,38,10,10,18,30,47
2018,19,Vitória - BA,37,-27,38,9,10,19,36,63
2018,20,Paraná Clube,23,-39,38,4,11,23,18,57
2019,1,Flamengo RJ,90,49,38,28,6,4,86,37
2019,2,Santos FC,74,27,38,22,8,8,60,33
2019,3,Palmeiras,74,29,38,21,11,6,61,32
2019,4,Grêmio Porto Alegre,65,25,38,19,8,11,64,39
2019,5,Athletico Paranaense,64,19,38,18,10,10,51,32
2019,6,São Paulo FC,63,9,38,17,12,9,39,30
2019,7,Internacional,57,5,38,16,9,13,44,39
2019,8,Corinthians SP,56,8,38,14,14,10,42,34
2019,9,Fortaleza - CE,53,1,38,15,8,15,50,49
2019,10,Goiás - GO,52,-18,38,15,7,16,46,64
2019,11,Bahia - BA,49,1,38,12,13,13,44,43
2019,12,Vasco da Gama - RJ,49,-6,38,12,13,13,39,45
2019,13,Atlético Mineiro,48,-4,38,13,9,16,45,49
2019,14,Fluminense RJ,46,-8,38,12,10,16,38,46
2019,15,Botafogo - RJ,43,-14,38,13,4,21,31,45
2019,16,Ceará - CE,39,-5,38,10,9,19,36,41
2019,17,Cruzeiro,36,-19,38,7,15,16,27,46
2019,18,CSA - AL,32,-34,38,8,8,22,24,58
2019,19,Chapecoense,32,-21,38,7,11,20,31,52
2019,20,Avaí - SC,20,-44,38,3,11,24,18,62
2020,1,Flamengo RJ,71,20,38,21,8,9,68,48
2020,2,Internacional,70,26,38,20,10,8,61,35
2020,3,Atlético Mineiro,68,19,38,20,8,10,64,45
2020,4,São Paulo FC,66,18,38,18,12,8,59,41
2020,5,Fluminense RJ,64,13,38,18,10,10,55,42
2020,6,Grêmio Porto Alegre,59,13,38,14,17,7,53,40
2020,7,Palmeiras,58,14,38,15,13,10,51,37
2020,8,Santos FC,54,1,38,14,12,12,52,51
2020,9,Athletico Paranaense,53,2,38,15,8,15,38,36
2020,10,Red Bull Bragantino,53,10,38,13,14,11,50,40
2020,11,Ceará - CE,52,3,38,14,10,14,54,51
2020,12,Corinthians SP,51,0,38,13,12,13,45,45
2020,13,Atlético Goianiense,50,-5,38,12,14,12,40,45
2020,14,Bahia - BA,44,-11,38,12,8,18,48,59
2020,15,Sport Recife - PE,42,-19,38,12,6,20,31,50
2020,16,Fortaleza - CE,41,-10,38,10,11,17,34,44
2020,17,Vasco da Gama - RJ,41,-19,38,10,11,17,37,56
2020,18,Goiás - GO,37,-22,38,9,10,19,41,63
2020,19,Coritiba - PR,31,-23,38,7,10,21,31,54
2020,20,Botafogo - RJ,27,-30,38,5,12,21,32,62
2021,1,Atletico-MG,84,33,38,26,6,6,67,34
2021,2,Flamengo,71,33,38,21,8,9,69,36
2021,3,Palmeiras,66,15,38,20,6,12,58,43
2021,4,Fortaleza EC,58,-1,38,17,7,14,44,45
2021,5,Corinthians,57,4,38,15,12,11,40,36
2021,6,RB Bragantino,56,9,38,14,14,10,55,46
2021,7,Fluminense,54,0,38,15,9,14,38,38
2021,8,America Mineiro,53,4,38,13,14,11,41,37
2021,9,Atletico Goianiense,53,-3,38,13,14,11,33,36
2021,10,Santos,50,-5,38,12,14,12,35,40
2021,11,Ceara,50,1,38,11,17,10,39,38
2021,12,Internacional,48,2,38,12,12,14,44,42
2021,13,Sao Paulo,48,-8,38,11,15,12,31,39
2021,14,Atletico Paranaense,47,-4,38,13,8,17,41,45
2021,15,Cuiaba,47,-3,38,10,17,11,34,37
2021,16,Juventude,46,-8,38,11,13,14,36,44
2021,17,Gremio,43,-7,38,12,7,19,44,51
2021,18,Bahia,43,-9,38,11,10,17,42,51
2021,19,Sport Recife,38,-13,38,9,11,18,24,37
2021,20,Chapecoense-sc,15,-40,38,1,12,25,27,67
2022,1,Palmeiras,81,39,38,23,12,3,66,27
2022,2,Internacional,73,27,38,20,13,5,58,31
2022,3,Fluminense,70,22,38,21,7,10,63,41
2022,4,Corinthians,65,8,38,18,11,9,44,36
2022,5,Flamengo,62,21,38,18,8,12,60,39
2022,6,Atletico Paranaense,58,0,38,16,10,12,48,48
2022,7,Atletico-MG,58,8,38,15,13,10,45,37
2022,8,Fortaleza EC,55,7,38,15,10,13,46,39
2022,9,Sao Paulo,54,13,38,13,15,10,55,42
2022,10,America Mineiro,53,0,38,15,8,15,40,40
2022,11,Botafogo,53,-2,38,15,8,15,41,43
2022,12,Santos,47,3,38,12,11,15,44,41
2022,13,Goias,46,-13,38,11,13,14,40,53
2022,14,RB Bragantino,44,-10,38,11,11,16,49,59
2022,15,Coritiba,42,-21,38,12,6,20,39,60
2022,16,Cuiaba,41,-11,38,10,11,17,31,42
2022,17,Ceara,37,-7,38,7,16,15,34,41
2022,18,Atletico Goianiense,36,-18,38,8,12,18,39,57
2022,19,Avai,35,-26,38,9,8,21,34,60
2022,20,Juventude,22,-40,38,3,13,22,29,69
2023,1,Palmeiras,70,31,38,20,10,8,64,33
2023,2,Gremio,68,7,38,21,5,12,63,56
2023,3,Atletico-MG,66,20,38,19,9,10,52,32
2023,4,Flamengo,66,14,38,19,9,10,56,42
2023,5,Botafogo,64,21,38,18,10,10,58,37
2023,6,RB Bragantino,62,14,38,17,11,10,49,35
2023,7,Fluminense,56,4,38,16,8,14,51,47
2023,8,Atletico Paranaense,56,8,38,14,14,10,51,43
2023,9,Internacional,55,1,38,15,10,13,46,45
2023,10,Fortaleza EC,54,1,38,15,9,14,45,44
2023,11,Sao Paulo,53,2,38,14,11,13,40,38
2023,12,Cuiaba,51,1,38,14,9,15,40,39
2023,13,Corinthians,50,-1,38,12,14,12,47,48
2023,14,Cruzeiro,47,3,38,11,14,13,35,32
2023,15,Vasco DA Gama,45,-10,38,12,9,17,41,51
2023,16,Bahia,44,-3,38,12,8,18,50,53
2023,17,Santos,43,-25,38,11,10,17,39,64
2023,18,Goias,38,-17,38,9,11,18,36,53
2023,19,Coritiba,30,-32,38,8,6,24,41,73
2023,20,America Mineiro,24,-39,38,5,9,24,42,81
2024,1,Botafogo FR,79,30,38,23,10,5,59,29
2024,2,SE Palmeiras,73,27,38,22,7,9,60,33
2024,3,CR Flamengo,70,19,38,20,10,8,61,42
2024,4,Fortaleza EC,68,14,38,19,11,8,53,39
2024,5,SC Internacional,65,17,38,18,11,9,53,36
2024,6,São Paulo FC,59,10,38,17,8,13,53,43
2024,7,SC Corinthians Paulista,56,9,38,15,11,12,54,45
2024,8,EC Bahia,53,0,38,15,8,15,49,49
2024,9,Cruzeiro EC,52,2,38,14,10,14,43,41
2024,10,CR Vasco da Gama,50,-13,38,14,8,16,43,56
2024,11,CA Mineiro,47,-7,38,11,14,13,47,54
2024,12,EC Vitória,47,-7,38,13,8,17,45,52
2024,13,Fluminense FC,46,-6,38,12,10,16,33,39
2024,14,Grêmio FBPA,45,-6,38,12,9,17,44,50
2024,15,EC Juventude,45,-11,38,11,12,15,48,59
2024,16,RB Bragantino,44,-4,38,10,14,14,44,48
2024,17,CA Paranaense,42,-6,38,11,9,18,40,46
2024,18,Criciúma EC,38,-19,38,9,11,18,42,61
2024,19,Cuiabá EC,30,-20,38,6,12,20,29,49
2024,20,AC Goianiense,30,-29,38,7,9,22,29,58
